X,Y,PILE ID,Pile Color,X,Y,Z
-93.9963899662518,34.9200863634429,5.65-S1.R045.H,Light Blue,13689036.82,3012307.276,70.28768751
-93.9964790351041,34.9201042234361,5.65-S1.R045.I,Light Blue,13689009.34,3012307.276,70.1593636
-93.9965681039948,34.9201220833643,5.65-S1.R045.J,Light Blue,13688981.86,3012307.276,70.03103968
-93.996657172924,34.9201399432274,5.65-S1.R045.K,Light Blue,13688954.38,3012307.276,69.90271577
-93.9967353189484,34.9201556127989,5.65-S1.R045.L,Yellow,13688930.27,3012307.276,69.79012881
-93.9957771519562,34.9200200388898,5.65-S1.R046.A,Orange,13689221.02,3012327.276,71.14785
-93.9958443747974,34.920033518719,5.65-S1.R046.B,Black,13689200.28,3012327.276,71.051
-93.9959334434752,34.9200513791107,5.65-S1.R046.C,Orange,13689172.8,3012327.276,70.92267608
-93.9960225121914,34.9200692394373,5.65-S1.R046.D,Orange,13689145.32,3012327.276,70.79435217
-93.996111580946,34.9200870996988,5.65-S1.R046.E,Orange,13689117.84,3012327.276,70.66602825
-93.996200649739,34.9201049598952,5.65-S1.R046.F,Light Blue,13689090.36,3012327.276,70.53770434
-93.9962874173011,34.9201223585757,5.65-S1.R046.G,Dark Blue,13689063.59,3012327.276,70.41269593
-93.9963741848996,34.9201397571943,5.65-S1.R046.H,Light Blue,13689036.82,3012327.276,70.28768751
-93.996463253806,34.9201576171989,5.65-S1.R046.I,Light Blue,13689009.34,3012327.276,70.1593636
-93.9965523227507,34.9201754771384,5.65-S1.R046.J,Light Blue,13688981.86,3012327.276,70.03103968
-93.9966413917339,34.9201933370128,5.65-S1.R046.K,Light Blue,13688954.38,3012327.276,69.90271577
-93.9967195378058,34.9202090065943,5.65-S1.R046.L,Yellow,13688930.27,3012327.276,69.79012881
-93.9957613702214,34.9200734325628,5.65-S1.R047.A,Orange,13689221.02,3012347.276,71.14785
-93.9958285931035,34.9200869124006,5.65-S1.R047.B,Black,13689200.28,3012347.276,71.051
-93.9959176618353,34.9201047728035,5.65-S1.R047.C,Orange,13689172.8,3012347.276,70.92267608
-93.9960067306055,34.9201226331414,5.65-S1.R047.D,Orange,13689145.32,3012347.276,70.79435217
-93.9960957994141,34.9201404934142,5.65-S1.R047.E,Light Blue,13689117.84,3012347.276,70.66602825
-93.9961848682612,34.920158353622,5.65-S1.R047.F,Light Blue,13689090.36,3012347.276,70.53770434
-93.9962716358759,34.9201757523135,5.65-S1.R047.G,Dark Blue,13689063.59,3012347.276,70.41269593
-93.9963584035271,34.9201931509432,5.65-S1.R047.H,Light Blue,13689036.82,3012347.276,70.28768751
-93.9964474724874,34.9202110109591,5.65-S1.R047.I,Light Blue,13689009.34,3012347.276,70.1593636
-93.9965365414862,34.9202288709099,5.65-S1.R047.J,Yellow,13688981.86,3012347.276,70.03103968
-93.9966256105235,34.9202467307956,5.65-S1.R047.K,Light Blue,13688954.38,3012347.276,69.90271577
-93.9967037566427,34.920262400387,5.65-S1.R047.L,Yellow,13688930.27,3012347.276,69.79012881
-93.9957455884663,34.9201268262332,5.65-S1.R048.A,Orange,13689221.02,3012367.276,70.87173423
-93.9958128113891,34.9201403060795,5.65-S1.R048.B,Black,13689200.28,3012367.276,70.77488423
-93.995901880175,34.9201581664937,5.65-S1.R048.C,Light Blue,13689172.8,3012367.276,70.64656032
-93.9959909489992,34.920176026843,5.65-S1.R048.D,Light Blue,13689145.32,3012367.276,70.5182364
-93.9960800178619,34.9201938871271,5.65-S1.R048.E,Light Blue,13689117.84,3012367.276,70.38991249
-93.996169086763,34.9202117473461,5.65-S1.R048.F,Light Blue,13689090.36,3012367.276,70.26158857
-93.9962558544303,34.9202291460486,5.65-S1.R048.G,Dark Blue,13689063.59,3012367.276,70.13658016
-93.9963426221342,34.9202465446893,5.65-S1.R048.H,Light Blue,13689036.82,3012367.276,70.01157175
-93.9964316911486,34.9202644047165,5.65-S1.R048.I,Yellow,13689009.34,3012367.276,69.88324783
-93.9965207602014,34.9202822646787,5.65-S1.R048.J,Yellow,13688981.86,3012367.276,69.75492392
-93.9966098292927,34.9203001245757,5.65-S1.R048.K,Light Green,13688954.38,3012367.276,69.6266
-93.9966879754594,34.920315794177,5.65-S1.R048.L,Yellow,13688930.27,3012367.276,69.51401304
-93.9957298066908,34.9201802199008,5.65-S1.R049.A,Orange,13689221.02,3012387.276,71.08352119
-93.9957970296544,34.9201936997557,5.65-S1.R049.B,Black,13689200.28,3012387.276,70.98667119
-93.9958860984943,34.9202115601813,5.65-S1.R049.C,Orange,13689172.8,3012387.276,70.85834728
-93.9959751673726,34.9202294205418,5.65-S1.R049.D,Light Blue,13689145.32,3012387.276,70.73002336
-93.9960642362893,34.9202472808373,5.65-S1.R049.E,Light Blue,13689117.84,3012387.276,70.60169945
-93.9961533052445,34.9202651410676,5.65-S1.R049.F,Light Blue,13689090.36,3012387.276,70.47337553
-93.9962400729644,34.9202825397811,5.65-S1.R049.G,Purple,13689063.59,3012387.276,70.34836712
-93.9963268407209,34.9202999384329,5.65-S1.R049.H,Light Blue,13689036.82,3012387.276,70.2233587
-93.9964159097893,34.9203177984714,5.65-S1.R049.I,Light Blue,13689009.34,3012387.276,70.09503479
-93.9965049788962,34.9203356584448,5.65-S1.R049.J,Light Blue,13688981.86,3012387.276,69.96671087
-93.9965940480415,34.9203535183531,5.65-S1.R049.K,Light Green,13688954.38,3012387.276,69.83838696
