PILE ID,Pile Color,X,Y,Z
5.65-S1.R046.C,Orange,13689172.8,3012327.276,70.92267608
5.65-S1.R046.D,Orange,13689145.32,3012327.276,70.79435217
5.65-S1.R046.E,Orange,13689117.84,3012327.276,70.66602825
5.65-S1.R046.F,Light Blue,13689090.36,3012327.276,70.53770434
5.65-S1.R046.G,Dark Blue,13689063.59,3012327.276,70.41269593
5.65-S1.R046.H,Light Blue,13689036.82,3012327.276,70.28768751
5.65-S1.R046.I,Light Blue,13689009.34,3012327.276,70.1593636
5.65-S1.R046.J,Light Blue,13688981.86,3012327.276,70.03103968
5.65-S1.R046.K,Light Blue,13688954.38,3012327.276,69.90271577
5.65-S1.R046.L,Yellow,13688930.27,3012327.276,69.79012881
5.65-S1.R047.A,Orange,13689221.02,3012347.276,71.14785
5.65-S1.R047.B,Black,13689200.28,3012347.276,71.051
5.65-S1.R047.C,Orange,13689172.8,3012347.276,70.92267608
5.65-S1.R047.D,Orange,13689145.32,3012347.276,70.79435217
5.65-S1.R047.E,Light Blue,13689117.84,3012347.276,70.66602825
5.65-S1.R047.F,Light Blue,13689090.36,3012347.276,70.53770434
5.65-S1.R047.G,Dark Blue,13689063.59,3012347.276,70.41269593
5.65-S1.R047.H,Light Blue,13689036.82,3012347.276,70.28768751
5.65-S1.R047.I,Light Blue,13689009.34,3012347.276,70.1593636
5.65-S1.R047.J,Yellow,13688981.86,3012347.276,70.03103968
5.65-S1.R047.K,Light Blue,13688954.38,3012347.276,69.90271577
5.65-S1.R047.L,Yellow,13688930.27,3012347.276,69.79012881
5.65-S1.R048.A,Orange,13689221.02,3012367.276,70.87173423
5.65-S1.R048.B,Black,13689200.28,3012367.276,70.77488423
5.65-S1.R048.C,Light Blue,13689172.8,3012367.276,70.64656032
5.65-S1.R048.D,Light Blue,13689145.32,3012367.276,70.5182364
5.65-S1.R048.E,Light Blue,13689117.84,3012367.276,70.38991249
5.65-S1.R048.F,Light Blue,13689090.36,3012367.276,70.26158857
5.65-S1.R048.G,Dark Blue,13689063.59,3012367.276,70.13658016
5.65-S1.R048.H,Light Blue,13689036.82,3012367.276,70.01157175
5.65-S1.R048.I,Yellow,13689009.34,3012367.276,69.88324783
5.65-S1.R048.J,Yellow,13688981.86,3012367.276,69.75492392
5.65-S1.R048.K,Light Green,13688954.38,3012367.276,69.6266
5.65-S1.R048.L,Yellow,13688930.27,3012367.276,69.51401304
5.65-S1.R049.A,Orange,13689221.02,3012387.276,71.08352119
5.65-S1.R049.B,Black,13689200.28,3012387.276,70.98667119
5.65-S1.R049.C,Orange,13689172.8,3012387.276,70.85834728
5.65-S1.R049.D,Light Blue,13689145.32,3012387.276,70.73002336
5.65-S1.R049.E,Light Blue,13689117.84,3012387.276,70.60169945
5.65-S1.R049.F,Light Blue,13689090.36,3012387.276,70.47337553
5.65-S1.R049.G,Purple,13689063.59,3012387.276,70.34836712
5.65-S1.R049.H,Light Blue,13689036.82,3012387.276,70.2233587
5.65-S1.R049.I,Light Blue,13689009.34,3012387.276,70.09503479
5.65-S1.R049.J,Light Blue,13688981.86,3012387.276,69.96671087
5.65-S1.R049.K,Light Green,13688954.38,3012387.276,69.83838696
5.65-S1.R049.L,Yellow,13688930.27,3012387.276,69.7258
5.65-S1.R050.A,Light Blue,13689221.02,3012413.939,69.7675
5.65-S1.R050.B,Light Green,13689200.28,3012413.939,69.75496683
