id,northing,easting,z,color
08.S4.R28.A,2165567.84,6531949.14,0,Blue - Black
08.S4.R28.B,2165538.23,6531949.14,0,Blue - White
08.S4.R28.C,2165508.62,6531949.14,0,Blue - White
08.S4.R28.D,2165474.87,6531949.14,0,Blue - White
08.S4.R28.E,2165441.12,6531949.14,0,Pink - White
08.S4.R28.F,2165407.37,6531949.14,0,Pink - White
08.S4.R28.G,2165375.1,6531949.14,0,Green
08.S4.R28.H,2165342.82,6531949.14,0,Pink - White
08.S4.R28.I,2165309.08,6531949.14,0,Pink - White
08.S4.R28.J,2165275.33,6531949.14,0,Blue - White
08.S4.R28.K,2165245.72,6531949.14,0,Blue - White
08.S4.R28.L,2165216.11,6531949.14,0,Blue - Black
08.S4.R29.A,2165568.32,6531967.14,0,Blue - Black
08.S4.R29.B,2165538.71,6531967.14,0,Blue - White
08.S4.R29.C,2165509.1,6531967.14,0,Blue - White
08.S4.R29.D,2165475.35,6531967.14,0,Blue - White
08.S4.R29.E,2165441.6,6531967.14,0,Pink - White
08.S4.R29.F,2165407.85,6531967.14,0,Pink - White
08.S4.R29.G,2165375.58,6531967.14,0,Green
08.S4.R29.H,2165343.31,6531967.14,0,Pink - White
08.S4.R29.I,2165309.56,6531967.14,0,Pink - White
08.S4.R29.J,2165275.81,6531967.14,0,Blue - White
08.S4.R29.K,2165246.2,6531967.14,0,Blue - White
08.S4.R29.L,2165216.59,6531967.14,0,Blue - Black
08.S4.R30.A,2165568.8,6531985.14,0,Blue - Black
08.S4.R30.B,2165539.19,6531985.14,0,Blue - White
08.S4.R30.C,2165509.58,6531985.14,0,Blue - White
08.S4.R30.D,2165475.83,6531985.14,0,Blue - White
08.S4.R30.E,2165442.08,6531985.14,0,Pink - White
08.S4.R30.F,2165408.33,6531985.14,0,Pink - White
08.S4.R30.G,2165376.06,6531985.14,0,Green
08.S4.R30.H,2165343.79,6531985.14,0,Pink - White
08.S4.R30.I,2165310.04,6531985.14,0,Pink - White
08.S4.R30.J,2165276.29,6531985.14,0,Blue - White
08.S4.R30.K,2165246.68,6531985.14,0,Blue - White
08.S4.R30.L,2165217.07,6531985.14,0,Blue - Black
08.S4.R31.A,2165569.28,6532003.14,0,Blue - Black
08.S4.R31.B,2165539.67,6532003.14,0,Blue - White
08.S4.R31.C,2165510.06,6532003.14,0,Blue - White
08.S4.R31.D,2165476.31,6532003.14,0,Blue - White
08.S4.R31.E,2165442.57,6532003.14,0,Pink - White
08.S4.R31.F,2165408.82,6532003.14,0,Pink - White
08.S4.R31.G,2165376.54,6532003.14,0,Green
08.S4.R31.H,2165344.27,6532003.14,0,Pink - White
08.S4.R31.I,2165310.52,6532003.14,0,Pink - White
08.S4.R31.J,2165276.78,6532003.14,0,Blue - White
08.S4.R31.K,2165247.16,6532003.14,0,Blue - White
08.S4.R31.L,2165217.55,6532003.14,0,Blue - Black
08.S4.R32.A,2165569.77,6532021.14,0,Blue - Black
08.S4.R32.B,2165540.16,6532021.14,0,Blue - White
08.S4.R32.C,2165510.54,6532021.14,0,Blue - White
08.S4.R32.D,2165476.8,6532021.14,0,Blue - White
08.S4.R32.E,2165443.05,6532021.14,0,Pink - White
08.S4.R32.F,2165409.3,6532021.14,0,Pink - White
08.S4.R32.G,2165377.03,6532021.14,0,Green
08.S4.R32.H,2165344.75,6532021.14,0,Pink - White
08.S4.R32.I,2165311.01,6532021.14,0,Pink - White
08.S4.R32.J,2165277.26,6532021.14,0,Blue - White
08.S4.R32.K,2165247.65,6532021.14,0,Blue - White
08.S4.R32.L,2165218.04,6532021.14,0,Blue - Black
08.S4.R33.A,2165570.25,6532039.14,0,Blue - Black
08.S4.R33.B,2165540.64,6532039.14,0,Blue - White
08.S4.R33.C,2165511.03,6532039.14,0,Blue - White
08.S4.R33.D,2165477.28,6532039.14,0,Blue - White
08.S4.R33.E,2165443.53,6532039.14,0,Pink - White
08.S4.R33.F,2165409.78,6532039.14,0,Pink - White
08.S4.R33.G,2165377.51,6532039.14,0,Green
